id,name,active,notes
11441004,Prostatism,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
117491000119102,Straining on urination due to benign prostatic hypertrophy,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
117501000119109,Urinary hesitancy due to benign prostatic hypertrophy,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
117511000119107,Urinary urgency due to benign prostatic hypertrophy,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
117521000119100,Weak urinary stream due to benign prostatic hypertrophy,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
117531000119102,Urinary frequency due to benign prostatic hypertrophy,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
117541000119106,Urinary incontinence due to benign prostatic hypertrophy,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
117551000119108,Incomplete emptying of urinary bladder due to benign prostatic hypertrophy,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
12364003,Aggravated prostatism,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
154411000119109,Prostate nodule,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
197959008,Prostatic hyperplasia of the lateral lobe,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
197960003,Prostatic hyperplasia of the medial lobe,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
21173002,Benign adenoma of prostate,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
236646007,Benign prostatic hyperplasia with outflow obstruction,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
249607009,Large prostate,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
254902007,Benign prostatic hyperplasia without outflow obstruction,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
266569009,Benign prostatic hyperplasia,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
275302008,Prostate enlarged on PR,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
30041000119101,Lower urinary tract symptoms due to benign prostatic hypertrophy,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
40411000119106,Nodular prostate without urinary obstruction,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
40421000119104,Urinary obstruction due to nodular prostate,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
4127004,Prostatic obstruction,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
433234005,Hyperplasia of prostate,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
444808002,Benign localized hyperplasia of prostate,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
446419007,Minimally enlarged prostate,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
67580000,Median bar of prostate,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
712818008,Benign localized hyperplasia of prostate without outflow obstruction,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
722082000,Obstructive nephropathy due to benign prostatic hyperplasia,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
783151003,Post-atrophic hyperplasia of prostate,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
81021006,Myoma of prostate,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
81555000,Fibroadenoma of prostate,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
92308005,Benign neoplasm of prostate,y,opencodelists:ihme-snomed/benign-prostatic-hyperplasia-prepped-data-gbd-id-3035-test
