category,pct_12mo,tier_12mo,pct_1mo,tier_1mo,overall_tier
Comorbidity - Mental Health,14.58,STRONG,10.494,STRONG,STRONG
Screening - Mammography,7.984,STRONG,5.785,STRONG,STRONG
Lab - Lipid Panel,5.112,STRONG,5.177,STRONG,STRONG
Comorbidity - Cardiovascular,3.334,STRONG,2.608,MEDIUM,STRONG
Medication - Allergy / Respiratory,2.347,MEDIUM,2.907,MEDIUM,MEDIUM
Lifestyle - Alcohol Use,2.201,MEDIUM,2.902,MEDIUM,MEDIUM
Medication - Antihypertensives,1.641,MEDIUM,2.649,MEDIUM,MEDIUM
General Imaging,2.507,MEDIUM,2.054,MEDIUM,MEDIUM
Medication - Antibiotics,1.402,MEDIUM,2.23,MEDIUM,MEDIUM
Lifestyle - Tobacco Use,0.621,MEDIUM,2.162,MEDIUM,MEDIUM
Medication - Supplements / Vitamins,1.499,MEDIUM,2.158,MEDIUM,MEDIUM
Vital Signs / Anthropometrics,2.144,MEDIUM,1.763,MEDIUM,MEDIUM
Comorbidity - Respiratory / ENT,1.522,MEDIUM,1.873,MEDIUM,MEDIUM
Lifestyle - SDOH,1.476,MEDIUM,1.469,MEDIUM,MEDIUM
Lab - Cardiac Enzymes,1.312,MEDIUM,1.42,MEDIUM,MEDIUM
Medication - Cardiac,1.356,MEDIUM,1.42,MEDIUM,MEDIUM
Comorbidity - Skin / Dermatology,1.29,MEDIUM,1.396,MEDIUM,MEDIUM
Medication - Mental Health / Sleep,1.323,MEDIUM,1.038,MEDIUM,MEDIUM
Medication - Statins (Lipid Lowering),0.933,MEDIUM,1.247,MEDIUM,MEDIUM
Lab - Coagulation,0.15,LOW,1.176,MEDIUM,MEDIUM
Symptoms - Pain,0.665,MEDIUM,1.152,MEDIUM,MEDIUM
Medication - GI / Acid Suppression,0.843,MEDIUM,1.135,MEDIUM,MEDIUM
Lifestyle - Social Determinants of Health,0.502,MEDIUM,1.107,MEDIUM,MEDIUM
Medication - Thyroid,0.598,MEDIUM,0.971,MEDIUM,MEDIUM
Symptoms - General,0.947,MEDIUM,0.648,MEDIUM,MEDIUM
Symptoms - Breast Lump,0.068,LOW,0.781,MEDIUM,MEDIUM
Comorbidity - GI / GU,0.768,MEDIUM,0.499,LOW,MEDIUM
Post-Acute Markers,0.374,LOW,0.758,MEDIUM,MEDIUM
Lifestyle - Substance Use,0.174,LOW,0.69,MEDIUM,MEDIUM
Medication - Respiratory (Chronic),0.57,MEDIUM,0.605,MEDIUM,MEDIUM
History - Radiation Exposure,0.0,ZERO,0.566,MEDIUM,MEDIUM
History - Family Hx Other Cancers,0.344,LOW,0.378,LOW,LOW
History - Family Hx Breast Cancer,0.038,LOW,0.362,LOW,LOW
Medication - Other Chronic,0.231,LOW,0.308,LOW,LOW
Lifestyle - Diet/Nutrition,0.228,LOW,0.23,LOW,LOW
Lab - Sex Hormones (Androgens + SHBG),0.187,LOW,0.174,LOW,LOW
Comorbidity - Menopause,0.054,LOW,0.166,LOW,LOW
Medication - Diabetes,0.082,LOW,0.109,LOW,LOW
Lab - Sex Hormones (Estrogens + Progesterone),0.062,LOW,0.02,LOW,LOW
Lab - Pituitary Hormones (Prolactin + LH),0.0,ZERO,0.023,LOW,LOW
Medication - Supplements (OTC),0.0,ZERO,0.019,LOW,LOW
Comorbidity - Atypical Hyperplasia,0.0,ZERO,0.0,ZERO,ZERO
Comorbidity - Benign Breast,0.0,ZERO,0.0,ZERO,ZERO
Comorbidity - Other,0.0,ZERO,0.0,ZERO,ZERO
Comorbidity - Ovarian Conditions,0.0,ZERO,0.0,ZERO,ZERO
Comorbidity - Ovarian Failure,0.0,ZERO,0.0,ZERO,ZERO
History - Hereditary Risk,0.0,ZERO,0.0,ZERO,ZERO
History - Infectious Disease,0.0,ZERO,0.0,ZERO,ZERO
History - Oophorectomy,0.0,ZERO,0.0,ZERO,ZERO
Lab - Bone Density / DEXA,0.0,ZERO,0.0,ZERO,ZERO
Lab - Insulin Pathway (IGF-1 + C-peptide),0.0,ZERO,0.0,ZERO,ZERO
Lifestyle - Sleep,0.0,ZERO,0.0,ZERO,ZERO
Medication - Bone Health,0.0,ZERO,0.0,ZERO,ZERO
Medication - Hormone Therapy (HRT),0.0,ZERO,0.0,ZERO,ZERO
Medication - Pain (Non-Opioid),0.0,ZERO,0.0,ZERO,ZERO
Symptoms - Genitourinary,0.0,ZERO,0.0,ZERO,ZERO
Symptoms - Mental Health,0.0,ZERO,0.0,ZERO,ZERO
